"DATE/TIME","TYPE","ORDER#","TRADE#","REL. ORDER#","PRODUCT","UNITS/AMT","PRICE","BOUNDARY PRICE","STOP LOSS","TAKE PROFIT","MARGIN (AUD)","CONVERSION RATE","VALUE (AUD)","AMOUNT (AUD)","BALANCE (AUD)","AMOUNT EXCLUDING FEE","FEE","HOLDING COST - AMOUNT","HOLDING RATE","HOLDING COST (AUD)","HOLDING COST - TOTAL (AUD)","PREMIUM","REFUND %","TARGET","WIN PAYOUT","DRAW PAYOUT","OPEN","EXPIRY","SETTLEMENT","SETTLEMENT PRICE","RESULT","PAYOUT","TYPE","EXPIRY","STRIKE PRICE","SETTLEMENT","SETTLEMENT PRICE","PROFIT","LOSS"
"28 May 2026 08:25:55","Stop Loss Modified","O4-FF-9HVYJZ","-","O4-FF-9HVYK0","Codan Ltd","250 Uts","40.960","-","41.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"28 May 2026 07:00:42","Holding Cost","1600169077","-","-","Account","-","-","-","-","-","-","-","-","-13.47","17,765.40","-","-","-","-","-","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"28 May 2026 07:00:42","Holding Cost","O4-FF-9J011H","-","-","European Lithium Ltd","-","-","-","-","-","-","-","-","-","-","-","-","4,575.00","-6.81570%","-0.85","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"28 May 2026 07:00:42","Holding Cost","O4-FF-9HZXG4","-","-","SRG Global Ltd","-","-","-","-","-","-","-","-","-","-","-","-","9,285.00","-6.81570%","-1.73","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"28 May 2026 07:00:42","Holding Cost","O4-FF-9HZTMH","-","-","NRW Holdings","-","-","-","-","-","-","-","-","-","-","-","-","11,325.00","-6.81570%","-2.11","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"28 May 2026 07:00:42","Holding Cost","O4-FF-9HVYJZ","-","-","Codan Ltd","-","-","-","-","-","-","-","-","-","-","-","-","10,463.75","-6.81570%","-1.95","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"28 May 2026 07:00:42","Holding Cost","O4-FF-9HZT91","-","-","Superloop Ltd","-","-","-","-","-","-","-","-","-","-","-","-","2,211.00","-6.81570%","-0.41","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"28 May 2026 07:00:42","Holding Cost","O4-FF-9HSGCB","-","-","Megaport Ltd","-","-","-","-","-","-","-","-","-","-","-","-","14,985.00","-6.81570%","-2.80","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"28 May 2026 07:00:42","Holding Cost","O4-FE-9HNY7K","-","-","Dyno Nobel Ltd","-","-","-","-","-","-","-","-","-","-","-","-","15,220.00","-6.81570%","-2.84","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"28 May 2026 07:00:42","Holding Cost","O4-FF-9HSL39","-","-","Macmahon Holdings Ltd","-","-","-","-","-","-","-","-","-","-","-","-","4,151.25","-6.81570%","-0.78","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 13:34:09","Stop Loss Modified","O4-FF-9HSGCB","-","O4-FF-9HSGCC","Megaport Ltd","1,000 Uts","13.170","-","14.700","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 13:11:30","Commission Charge","1599605370","-","O4-FF-9J011H","European Lithium Ltd","10,000 Uts","-","-","-","-","-","-","-","-7.00","17,778.87","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 13:11:30","Buy Trade","O4-FF-9J011H","T4-FF-6Q6G04","-","European Lithium Ltd","10,000 Uts","0.460","-","0.415","-","-","1","4,600.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 13:05:44","Commission Charge","1599603962","-","O4-FF-9HW724","NRW Holdings","2,000 Uts","-","-","-","-","-","-","-","-13.45","17,785.87","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 13:05:44","Stop Loss","O4-FF-9HW723","T4-FF-6Q6FJW","-","NRW Holdings","2,000 Uts","7.470","-","-","-","-","-","14,940.00","20.00","17,799.32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 12:03:31","Commission Charge","1599591722","-","O4-FF-9HZXG4","SRG Global Ltd","3,000 Uts","-","-","-","-","-","-","-","-8.42","17,779.32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 12:03:31","Buy Trade","O4-FF-9HZXG4","T4-FF-6Q6CMY","-","SRG Global Ltd","3,000 Uts","3.120","-","2.920","-","-","1","9,360.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 11:14:09","Commission Charge","1599578232","-","O4-FF-9HZTMH","NRW Holdings","1,500 Uts","-","-","-","-","-","-","-","-10.21","17,787.74","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 11:14:09","Buy Trade","O4-FF-9HZTMH","T4-FF-6Q698L","-","NRW Holdings","1,500 Uts","7.560","-","7.140","-","-","1","11,340.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 11:08:24","Commission Charge","1599576244","-","O4-FF-9HZT91","Superloop Ltd","600 Uts","-","-","-","-","-","-","-","-7.00","17,797.95","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 11:08:23","Buy Trade","O4-FF-9HZT91","T4-FF-6Q68Y0","-","Superloop Ltd","600 Uts","3.660","-","3.400","-","-","1","2,196.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 11:02:30","Stop Loss Modified","O4-FE-9HNY7K","-","O4-FE-9HNY7L","Dyno Nobel Ltd","4,000 Uts","3.680","-","3.700","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 11:02:02","Stop Loss Modified","O4-FF-9HSL39","-","O4-FF-9HSL3B","Macmahon Holdings Ltd","4,500 Uts","0.885","-","0.894","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 11:01:46","Stop Loss Modified","O4-FF-9HSGCB","-","O4-FF-9HSGCC","Megaport Ltd","1,000 Uts","13.170","-","14.174","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 11:00:49","Stop Loss Modified","O4-FF-9HW723","-","O4-FF-9HW724","NRW Holdings","2,000 Uts","7.460","-","7.478","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 11:00:33","Stop Loss Modified","O4-FF-9HVYJZ","-","O4-FF-9HVYK0","Codan Ltd","250 Uts","40.960","-","41.150","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
